+-----------------------+-----------+------------------+-----------+------------+
| staff_name            | staff_age | staff_experience | role      | day        |
| Mackenzie Wright      |        26 |                4 | security  | 2025-05-11 |
| Mackenzie Lee         |        27 |                3 | security  | 2025-05-11 |
| Lauren Scott          |        28 |                5 | helper    | 2025-05-11 |
| Faith Young           |        43 |                2 | security  | 2025-05-11 |
| Preston Diaz          |        38 |                2 | technical | 2025-05-11 |
| Stephanie Wilson      |        35 |                4 | security  | 2025-05-11 |
| Emma Brewer           |        33 |                1 | security  | 2025-05-11 |
| Simon Moreno          |        45 |                2 | security  | 2025-05-11 |
| James Davis           |        35 |                1 | helper    | 2025-05-11 |
| Kylie Martinez        |        26 |                1 | helper    | 2025-05-11 |
| William Reed          |        39 |                2 | technical | 2025-05-11 |
| Luna Spencer          |        29 |                2 | helper    | 2025-05-11 |
| Matthew Spencer       |        37 |                3 | helper    | 2025-05-11 |
| Camila Stevens        |        38 |                2 | helper    | 2025-05-11 |
| Andrew Lewis          |        38 |                1 | technical | 2025-05-11 |
| Brady Powell          |        25 |                5 | helper    | 2025-05-11 |
| Max Ray               |        29 |                5 | security  | 2025-05-11 |
| Rachel Griffin        |        49 |                3 | technical | 2025-05-11 |
| Emma Turner           |        45 |                5 | security  | 2025-05-11 |
| Ashley Griffin        |        26 |                5 | helper    | 2027-08-18 |
| Michael Harris        |        26 |                4 | technical | 2027-08-18 |
| Liam Warren           |        48 |                2 | security  | 2027-08-18 |
| William Turner        |        35 |                4 | security  | 2027-08-18 |
| Leo Diaz              |        25 |                3 | security  | 2027-08-18 |
| Joshua Baker          |        36 |                2 | helper    | 2027-08-18 |
| Olivia Powell         |        27 |                2 | helper    | 2027-08-18 |
| Nathan Hanson         |        29 |                3 | security  | 2027-08-18 |
| Nathan Davis          |        25 |                2 | technical | 2027-08-18 |
| Lucas Mitchell        |        40 |                2 | security  | 2027-08-18 |
| Valeria Richards      |        40 |                3 | security  | 2027-08-18 |
| Faith Powell          |        39 |                3 | security  | 2027-08-18 |
| David Brewer          |        31 |                3 | helper    | 2027-08-18 |
| Liam Ford             |        37 |                1 | security  | 2027-08-18 |
| Justin Perez          |        47 |                3 | security  | 2027-08-18 |
| Nicole Reed           |        47 |                3 | security  | 2027-08-18 |
| Valeria Armstrong     |        26 |                3 | helper    | 2027-08-18 |
| Amanda Perez          |        33 |                2 | security  | 2027-08-18 |
| Vivian Allen          |        35 |                5 | helper    | 2027-08-18 |
| Valeria Lewis         |        32 |                5 | security  | 2027-08-18 |
| Camila Andrews        |        42 |                4 | helper    | 2027-08-18 |
| Emma Douglas          |        42 |                1 | technical | 2027-08-18 |
| Mackenzie Thompson    |        39 |                4 | security  | 2027-08-18 |
| Charlotte Sullivan    |        47 |                1 | technical | 2027-08-18 |
| Isabel Warren         |        33 |                2 | technical | 2027-08-18 |
| Brady Scott           |        33 |                2 | technical | 2025-12-26 |
| Naomi Campbell        |        40 |                3 | security  | 2025-12-26 |
| Daniel King           |        44 |                4 | security  | 2025-12-26 |
| Brooklyn Green        |        25 |                2 | security  | 2025-12-26 |
| Jessica Crawford      |        27 |                5 | security  | 2025-12-26 |
| Preston Armstrong     |        32 |                5 | security  | 2025-12-26 |
| Kevin Reed            |        45 |                4 | technical | 2025-12-26 |
| Isabel Perkins        |        46 |                3 | security  | 2025-12-26 |
| Andrew Perkins        |        48 |                1 | security  | 2025-12-26 |
| Liam Diaz             |        33 |                4 | helper    | 2025-12-26 |
| Isabella Davis        |        25 |                3 | security  | 2025-12-26 |
| Faith Smith           |        25 |                4 | technical | 2025-12-26 |
| Brandon Young         |        27 |                3 | security  | 2025-12-26 |
| Noah Davis            |        35 |                5 | security  | 2025-12-26 |
| Kylie Warren          |        47 |                4 | technical | 2025-12-26 |
| Jessica Adams         |        38 |                1 | security  | 2025-12-26 |
| Vivian Andrews        |        31 |                5 | technical | 2025-12-26 |
| Caleb Stevens         |        38 |                4 | helper    | 2025-12-26 |
| William Ellis         |        32 |                4 | security  | 2025-12-26 |
| Emma King             |        47 |                4 | helper    | 2025-12-26 |
| Faith Spencer         |        29 |                3 | helper    | 2025-12-26 |
| Kylie Adams           |        28 |                3 | helper    | 2025-12-26 |
| Preston Mitchell      |        35 |                3 | security  | 2025-12-26 |
| Emma Ford             |        28 |                3 | helper    | 2025-12-26 |
| Megan Powell          |        46 |                2 | helper    | 2025-12-26 |
| Faith Hamilton        |        48 |                2 | helper    | 2028-02-11 |
| Nicole Cole           |        45 |                1 | helper    | 2028-02-11 |
| Mackenzie Mitchell    |        49 |                2 | technical | 2028-02-11 |
| Ariana Martinez       |        48 |                3 | security  | 2028-02-11 |
| Matthew Johnson       |        44 |                1 | helper    | 2028-02-11 |
| Lauren Wilson         |        37 |                5 | security  | 2028-02-11 |
| Amanda Baker          |        32 |                2 | security  | 2028-02-11 |
| Valeria Spencer       |        46 |                5 | helper    | 2028-02-11 |
| Bryce Brewer          |        43 |                3 | security  | 2028-02-11 |
| Kevin Harris          |        38 |                5 | security  | 2028-02-11 |
| Michael King          |        48 |                5 | technical | 2028-02-11 |
| Isabella Perez        |        33 |                1 | security  | 2028-02-11 |
| William Hunt          |        50 |                3 | helper    | 2028-02-11 |
| Michael Jenkins       |        33 |                5 | helper    | 2028-02-11 |
| Andrew Stevens        |        32 |                2 | security  | 2028-02-11 |
| Daniel Olson          |        36 |                2 | security  | 2028-02-11 |
| James Powell          |        50 |                4 | security  | 2028-02-11 |
| Benjamin Thompson     |        42 |                4 | helper    | 2028-02-11 |
| Sarah Wright          |        32 |                3 | technical | 2028-02-11 |
| Mackenzie Turner      |        50 |                4 | security  | 2028-02-11 |
| Ariana Young          |        49 |                4 | technical | 2028-02-11 |
| Justin Hall           |        43 |                1 | security  | 2028-02-11 |
| Christopher Andrews   |        30 |                5 | security  | 2028-02-11 |
| Ava Martinez          |        38 |                5 | technical | 2028-02-11 |
| Charlotte Richards    |        25 |                5 | security  | 2028-02-11 |
| Isabel Jenkins        |        28 |                2 | technical | 2026-09-14 |
| Eli Nelson            |        48 |                2 | security  | 2026-09-14 |
| Noah Perkins          |        47 |                1 | security  | 2026-09-14 |
| Olivia Ellis          |        44 |                5 | security  | 2026-09-14 |
| Liam Crawford         |        28 |                3 | helper    | 2026-09-14 |
| Cole Ellis            |        37 |                2 | security  | 2026-09-14 |
| Valeria Stevens       |        35 |                3 | technical | 2026-09-14 |
| Daniel Young          |        45 |                5 | helper    | 2026-09-14 |
| Noah Olson            |        41 |                1 | helper    | 2026-09-14 |
| William Hamilton      |        28 |                1 | security  | 2026-09-14 |
| Jocelyn Diaz          |        49 |                1 | technical | 2026-09-14 |
| Preston Hamilton      |        49 |                3 | helper    | 2026-09-14 |
| Valeria Wilson        |        42 |                4 | security  | 2026-09-14 |
| Rachel Ellis          |        39 |                1 | security  | 2026-09-14 |
| Matthew Jenkins       |        48 |                2 | security  | 2026-09-14 |
| Isabella Hayes        |        47 |                2 | helper    | 2026-09-14 |
| Ava Hamilton          |        28 |                3 | security  | 2026-09-14 |
| Jude Martinez         |        28 |                2 | helper    | 2026-09-14 |
| Mia Roberts           |        32 |                5 | security  | 2026-09-14 |
| Camila Sullivan       |        36 |                5 | technical | 2026-09-14 |
| Amanda Turner         |        27 |                3 | helper    | 2026-09-14 |
| William Crawford      |        34 |                4 | security  | 2026-09-14 |
| Cole Hall             |        28 |                2 | technical | 2026-09-14 |
| Valeria Davis         |        40 |                2 | security  | 2026-09-14 |
| John Hanson           |        44 |                5 | security  | 2026-09-14 |
| Brooklyn Johnson      |        34 |                3 | helper    | 2027-05-07 |
| Miles Hamilton        |        31 |                4 | security  | 2027-05-07 |
| William Young         |        48 |                5 | technical | 2027-05-07 |
| Emily Armstrong       |        33 |                4 | security  | 2027-05-07 |
| Mia Lawson            |        40 |                3 | security  | 2027-05-07 |
| Emma Johnson          |        29 |                2 | helper    | 2027-05-07 |
| Sarah Powell          |        38 |                1 | helper    | 2027-05-07 |
| Kevin Moreno          |        42 |                3 | helper    | 2027-05-07 |
| Daniel Green          |        40 |                1 | security  | 2027-05-07 |
| Isabella Douglas      |        37 |                5 | security  | 2027-05-07 |
| Luna Adams            |        28 |                3 | technical | 2027-05-07 |
| Rachel Myers          |        44 |                5 | helper    | 2027-05-07 |
| Ashley Ford           |        48 |                2 | helper    | 2027-05-07 |
| Jude Spencer          |        41 |                4 | helper    | 2027-05-07 |
| Preston Bennett       |        41 |                1 | security  | 2027-05-07 |
| Brooklyn Olson        |        28 |                5 | security  | 2027-05-07 |
| Max Wright            |        30 |                2 | technical | 2027-05-07 |
| Bryce Young           |        30 |                2 | security  | 2027-05-07 |
| Mackenzie Hayes       |        48 |                4 | technical | 2027-05-07 |
| Charlotte Ford        |        44 |                2 | security  | 2027-05-07 |
| Stephanie Sullivan    |        30 |                4 | security  | 2027-05-07 |
| Emily Andrews         |        37 |                3 | technical | 2027-05-07 |
| Cole Moreno           |        42 |                3 | security  | 2027-05-07 |
| Stephanie Hamilton    |        33 |                4 | security  | 2027-05-07 |
| Delaney Hale          |        48 |                1 | security  | 2027-05-07 |
+-----------------------+-----------+------------------+-----------+------------+
